time(s),rx(m),ry(m),rz(m),vx(m/s),vy(m/s),vz(m/s)
6811.160429005432,2132836.3831803645,-6538954.954534943,-8589.552599272607,-7237.414712993794,-2360.6647829172803,-3.1009625334788105
6862.292612327313,1759554.4003913852,-6649127.58164439,-8734.275048369818,-7359.354762177822,-1947.5111428305831,-2.5582450889054336
6911.684286775817,1393615.9866826213,-6735337.4421259845,-8847.520075492854,-7454.772452869941,-1542.4855412317947,-2.026204612533586
6959.121904343206,1038221.3256683177,-6799194.025733483,-8931.401901796928,-7525.449206175096,-1149.129979346661,-1.5094938670825053
7004.328177686162,696866.4213246098,-6842611.138395946,-8988.43449729816,-7573.503264641758,-771.3138738714373,-1.0131957073007074
7046.901935816277,373779.7124852412,-6867841.422092774,-9021.57692608308,-7601.427899935223,-413.71730747835807,-0.5434578764532263
7081.575829077817,109998.08328889753,-6877126.110223951,-9033.773265960797,-7611.703825561296,-121.76041664448161,-0.1599441364176783
7110.613177809216,-111044.37169243244,-6877109.677026053,-9033.751679358855,-7611.685214892807,122.89217816730948,0.16143081512973856
7137.811951527404,-317991.29385120317,-6870651.713321504,-9025.268516634826,-7604.537051671072,351.94363374024977,0.46231215461950576
7171.383412846273,-573008.4779971216,-6854096.669831874,-9003.521858670956,-7586.2132038229865,634.1998269999807,0.8330830859582343
7209.17555425704,-859122.9137082775,-6824140.619459823,-8964.171676244827,-7553.056872379531,950.8748023318801,1.2490664313703703
7250.198048369514,-1167976.2876219307,-6778113.836416717,-8903.711025166342,-7502.11318643551,1292.717463037424,1.6981099765884304
7293.881343967556,-1494200.7555654878,-6713744.79209591,-8819.156031929231,-7430.86800092509,1653.7866038213701,2.1724093712626438
7339.854093039465,-1833736.8877972194,-6629059.063567789,-8707.91310019814,-7337.136010119204,2029.5891910253667,2.666062579179724
7387.8516495098365,-2183148.8943239087,-6522337.515354648,-8567.723978507245,-7219.014463722811,2416.3224453233697,3.17407428025082
7437.668831204076,-2539279.8526343377,-6392111.931556696,-8396.660022633421,-7074.878332871888,2810.492243526017,3.6918546042088867
